Image1,Image2,MAE,RMSE,RMSE log
Portland_hotel/output_image/0.jpg,Portland_hotel/output_image/120.jpg,5.851174703216551,5.946606540263116,1.9998919535580133
Portland_hotel/output_image/1.jpg,Portland_hotel/output_image/121.jpg,3.8653107840486483,4.375630531377353,2.21089576797901
Portland_hotel/output_image/2.jpg,Portland_hotel/output_image/122.jpg,8.1782891098211,9.705528485268715,2.5368896035379085
Portland_hotel/output_image/3.jpg,Portland_hotel/output_image/123.jpg,7.032124208581833,7.469913286148881,1.9231555347078189
Portland_hotel/output_image/4.jpg,Portland_hotel/output_image/124.jpg,8.505627776115281,11.252769184176302,1.9648085078042146
Portland_hotel/output_image/5.jpg,Portland_hotel/output_image/125.jpg,9.932487082832829,15.437528908237807,1.8479830861004705
Portland_hotel/output_image/6.jpg,Portland_hotel/output_image/126.jpg,5.48672868476141,5.784517227670733,1.8872968343668686
Portland_hotel/output_image/7.jpg,Portland_hotel/output_image/127.jpg,52.83143852306962,196.67299436917565,1.8880000600403941
Portland_hotel/output_image/8.jpg,Portland_hotel/output_image/128.jpg,4.98304474444875,5.213578958091818,2.0297606055735216
Portland_hotel/output_image/9.jpg,Portland_hotel/output_image/129.jpg,6.235374855337235,6.963000353692093,1.7436566386759975
Portland_hotel/output_image/10.jpg,Portland_hotel/output_image/130.jpg,9.31409702858031,14.415562018382342,1.9688189007942942
Portland_hotel/output_image/11.jpg,Portland_hotel/output_image/131.jpg,4.26615534545958,4.751312459699659,1.6479683573824884
Portland_hotel/output_image/12.jpg,Portland_hotel/output_image/132.jpg,6.89218403741488,7.4957637201923015,1.8576471396318273
Portland_hotel/output_image/13.jpg,Portland_hotel/output_image/133.jpg,4.407044067133234,4.52170353694532,1.623847534351182
Portland_hotel/output_image/14.jpg,Portland_hotel/output_image/134.jpg,5.768366961281876,5.873327533899082,2.0138863280178123
Portland_hotel/output_image/15.jpg,Portland_hotel/output_image/135.jpg,6.792305278914235,7.979402068196888,1.8082837231885767
Portland_hotel/output_image/16.jpg,Portland_hotel/output_image/136.jpg,4.130457368270089,4.532587194284979,2.1553442129956557
Portland_hotel/output_image/17.jpg,Portland_hotel/output_image/137.jpg,10.12894451857209,18.68554986008205,1.9346582094805158
Portland_hotel/output_image/18.jpg,Portland_hotel/output_image/138.jpg,3.152866578954266,3.3246251003686003,1.0704931200464336
Portland_hotel/output_image/19.jpg,Portland_hotel/output_image/139.jpg,6.501568456429036,7.120457402436907,1.525942562511972
Portland_hotel/output_image/20.jpg,Portland_hotel/output_image/140.jpg,7.911110662459515,13.164940432377458,1.8472875345489055
Portland_hotel/output_image/21.jpg,Portland_hotel/output_image/141.jpg,6.317517548880576,7.280450929264987,1.8411787051962043
Portland_hotel/output_image/22.jpg,Portland_hotel/output_image/142.jpg,6.24577204762527,6.448152422927444,1.8773144581141674
Portland_hotel/output_image/23.jpg,Portland_hotel/output_image/143.jpg,8.193305363114126,9.817877560256811,1.9451456580447104
Portland_hotel/output_image/24.jpg,Portland_hotel/output_image/144.jpg,6.973994922205897,7.413503805582933,1.755779126150006
Portland_hotel/output_image/25.jpg,Portland_hotel/output_image/145.jpg,6.927651706163811,7.294519759753238,2.1781659429941955
